Cheat,NTX,NTY,NTZ,LCX,LCY,LCZ,RCX,RCY,RCZ,MEX,MEY,MEZ,Faces,Dir,NotVis,Vis ,VisCount,FirstObj,SecondObj,Tob
1,312.244,136.183,-16.2562,326.341,134.937,-21.5825,285.076,128.842,11.0394,309.246,115.388,-9.39511,1,6,00:00.0,00:00.0,0,1,0,0
1,320.398,139.461,-16.0411,333.467,139.407,-23.0331,290.028,129.799,13.7295,317.804,118.664,-12.7601,1,6,00:00.0,00:00.0,0,1,0,0
1,318,143.209,-15.8317,326.973,143.445,-22.0021,287.836,130.276,16.8131,319.464,123.046,-15.6845,1,6,00:00.0,00:00.0,0,1,0,0
1,308.375,328.701,-5.1729,346.64,333.046,-28.3832,264.289,343.979,0.805183,299.977,287.36,-4.65993,1,6,50:33.0,52:28.0,42,1,0,0
1,300.605,331.684,-6.6781,346.887,336.014,-33.1108,259.859,345.774,-3.55184,296.925,287.118,-0.786573,1,6,50:33.0,52:28.0,42,1,0,0
1,304.891,337.215,-8.91437,346.88,336.106,-23.4141,273.672,339.944,-4.119,303.877,292.677,1.81236,1,6,58:38.0,58:38.0,2,1,1,0
1,353.712,334.35,-3.02046,341.795,342.441,-15.1665,295.109,345.521,25.3387,329.952,294.017,-28.1792,1,6,58:38.0,58:38.0,2,1,0,0
1,313.2,376.99,-10.6766,344.774,393.881,-23.9128,286.237,359.516,-2.07655,327.548,354.126,0.0289199,1,6,58:38.0,58:38.0,2,1,0,0
1,320.387,380.838,-9.97399,340.858,389.686,-21.3078,292.609,366.773,5.42613,327.36,357.694,-6.7868,1,6,58:38.0,58:38.0,2,1,0,0
1,307.133,390.06,-12.7667,328.501,391.6,-22.3031,269.488,379.868,9.68367,308.145,361.527,-9.9282,1,6,58:38.0,58:38.0,2,1,0,0
1,300.885,381.738,-12.4201,327.323,390.061,-22.1615,272.549,366.288,2.88142,310.796,356.041,-3.76384,1,6,58:38.0,58:38.0,2,1,0,0
1,312.622,357.014,-4.57974,315.476,358.481,-11.4816,287.109,346.396,16.2178,311.2,335.433,-17.296,1,6,58:38.0,58:38.0,2,1,0,0
1,303.1,349.836,3.04066,307.954,356.219,-15.2698,274.586,343.38,12.6362,296.477,329.482,-17.8287,1,6,58:38.0,58:38.0,2,1,0,0
1,321.262,366.428,-9.81172,328.866,367.716,-17.7886,291.606,356.359,15.8859,320.829,344.569,-16.2663,1,6,58:38.0,58:38.0,2,1,0,0
1,310.184,362.198,-6.95458,325.16,369.908,-19.0867,283.963,349.698,7.08538,314.05,342.401,-9.37638,1,6,58:38.0,58:38.0,2,1,0,0
1,304.912,356.426,-7.03652,315.809,362.243,-26.1377,262.594,363.048,16.3964,294.738,325.97,-19.917,1,6,58:38.0,58:38.0,2,1,0,0
1,337.949,349.431,-2.68252,327.714,356.487,-9.86859,307.053,360.783,25.5852,317.544,321.086,-26.8811,1,6,58:38.0,58:38.0,2,1,0,0
1,319.401,341.164,-0.961947,314.556,352.877,-9.22965,292.336,356.28,26.2472,299.199,320.013,-28.5838,1,6,58:38.0,58:38.0,2,1,0,0
1,310.499,333.794,-2.60836,313.773,338.155,-16.8378,283.566,356.12,20.7003,287.396,315.972,-24.2558,1,6,58:38.0,58:38.0,2,1,0,0
1,333.588,372.376,2.23888,335.621,377.302,-16.1754,294.336,361.951,16.693,324.304,344.322,-21.6262,1,6,58:38.0,58:38.0,2,1,0,0
1,320.743,376.026,-4.02484,332.016,381.556,-18.0237,283.439,363.409,13.0011,316.682,347.844,-15.8772,1,6,58:38.0,58:38.0,2,1,0,0
1,322.433,370.576,0.758377,332.867,381.407,-19.3468,285.078,355.923,10.4803,321.781,345.085,-16.146,1,6,58:38.0,58:38.0,2,1,0,0
1,324.727,366.875,3.98589,328.142,375.029,-16.3799,289.958,356.912,13.5567,319.726,344.37,-19.6057,1,6,58:38.0,58:38.0,2,1,0,0
1,331.816,371.542,-0.418259,340.292,382.599,-21.6909,290.665,352.72,13.6317,328.917,345.955,-19.1044,1,6,58:38.0,58:38.0,2,1,0,0
1,320.114,375.546,-4.4233,333.912,385.813,-18.1016,289.595,358.783,9.3438,323.996,350.527,-12.2482,1,6,58:38.0,58:38.0,2,1,0,0
1,321.749,378.567,-3.40352,334.248,391.293,-20.0707,292.468,360.06,7.80448,328.733,358.107,-11.6816,1,6,58:38.0,58:38.0,2,1,0,0
1,307.493,375.452,-7.34855,332.143,383.854,-20.1472,277.753,365.77,3.18026,312.085,349.682,-5.49597,1,6,58:38.0,58:38.0,2,1,0,0
1,326.581,377.753,-8.73585,345.834,382.397,-19.5344,292.187,367.953,8.76202,326.898,351.8,-10.1962,1,6,58:38.0,58:38.0,2,1,0,0
1,302.976,382.709,-7.81192,322.907,389.891,-19.4593,269.878,370.468,7.20994,305.273,355.707,-9.31353,1,6,58:38.0,58:38.0,2,1,0,0
1,306.088,359.157,-5.0034,322.589,364.289,-21.0982,276.805,353.177,7.4303,303.219,339.099,-11.0429,1,6,58:38.0,58:38.0,2,1,0,0
1,316.759,386.078,-13.482,340.048,390.763,-22.2356,282.821,373.213,7.24648,321.508,358.38,-7.07325,1,6,58:38.0,58:38.0,2,1,0,0
1,320.424,374.385,-0.688143,332.619,383.818,-18.1169,286.633,363.68,9.77942,318.044,350.525,-14.0849,1,6,58:38.0,58:38.0,2,1,0,0
1,310.709,351.915,0.294907,321.992,362.465,-19.4892,278.919,339.53,9.52615,308.663,330.053,-14.7818,1,6,58:38.0,58:38.0,2,1,0,0
1,315.421,359.775,-2.38033,319.734,363.614,-15.5646,283.216,348.606,16.3706,309.933,335.799,-19.276,1,6,58:38.0,58:38.0,2,1,0,0
1,315.053,368.505,-2.4195,321.694,377.07,-17.4212,284.314,351.783,13.2938,316.17,346.176,-16.4617,1,6,58:38.0,58:38.0,2,1,0,0
1,319.105,375.528,-6.53768,329.785,386.101,-21.0554,286.314,351.717,13.7803,323.849,351.388,-15.9846,1,6,58:38.0,58:38.0,2,1,0,0
1,313.217,373.19,-2.17342,319.82,382.453,-17.9907,278.647,354.772,13.2597,315.708,348.459,-16.5536,1,6,58:38.0,58:38.0,2,1,0,0
1,301.399,368.362,-6.31915,326.133,386.956,-24.6934,264.897,346.055,5.02031,308.258,342.882,-8.82806,1,6,58:38.0,58:38.0,2,1,0,0
1,302.79,366.579,-5.67496,317.369,378.162,-18.6506,274.378,349.978,7.46553,310.035,344.098,-9.82423,1,6,58:38.0,58:38.0,2,1,0,0
1,315.253,363.793,-1.33124,317.773,366.656,-12.8171,285.903,351.749,16.3433,311.861,339.302,-18.9094,1,6,58:38.0,58:38.0,2,1,0,0
1,323.295,369.339,-0.425263,333.516,378.86,-18.9396,287.225,356.089,11.3328,320.396,345.358,-16.0993,1,6,58:38.0,58:38.0,2,1,0,0
1,312.586,368.338,-3.77873,329.415,384.028,-22.1216,279.465,348.614,7.43035,317.082,344.708,-11.2958,1,6,58:38.0,58:38.0,2,1,0,0
1,315.703,377.659,-3.93944,333.756,392.521,-22.1022,282.968,360.605,6.16624,320.37,354.594,-10.1456,1,6,58:38.0,58:38.0,2,1,0,0
1,313.678,377.328,-5.18584,328.633,392.011,-19.4177,289.926,359.257,4.68824,325.175,358.456,-7.83139,1,6,58:38.0,58:38.0,2,1,0,0
1,316.538,376.836,-5.08207,330.956,388.087,-17.9184,290.197,360.62,7.05182,323.525,354.333,-9.65981,1,6,58:38.0,58:38.0,2,1,0,0
1,314.254,378.198,-3.6208,328.825,390.705,-18.5562,287.677,362.905,6.26001,321.132,356.842,-9.61033,1,6,58:38.0,58:38.0,2,1,0,0
1,306.765,375.653,-7.32571,329.146,391.136,-20.5361,283.437,360.466,1.01985,316.492,354.904,-3.44984,1,6,58:38.0,58:38.0,2,1,0,0
1,319.559,371.025,-5.36378,324.577,375.189,-12.5699,299.396,358.183,10.7399,325.19,352.03,-11.7053,1,6,58:38.0,58:38.0,2,1,0,0
1,306.777,388.432,-12.5393,329.676,399.737,-22.6266,281.527,370.223,3.62761,317.697,365.075,-4.43096,1,6,58:38.0,58:38.0,2,1,0,0
1,301.332,375.358,-7.69449,323.737,392.531,-21.7439,277.226,356.893,1.24694,313.75,355.359,-4.1196,1,6,58:38.0,58:38.0,2,1,0,0
1,301.961,367.047,-0.128956,313.758,371.303,-18.1637,264.963,368.588,9.62387,289.037,340.504,-14.0936,1,6,58:38.0,58:38.0,2,1,0,0
1,330.021,343.459,2.23494,323.253,351.295,-10.4807,303.729,362.225,23.6663,306.406,328.367,-27.5101,1,6,58:38.0,58:38.0,2,1,0,0
1,310.81,367.198,-1.49515,317.075,369.602,-18.3478,270.775,369.346,14.8525,293.909,342.348,-18.9687,1,6,58:38.0,58:38.0,2,1,0,0
1,326.22,354.536,-8.14164,321.856,354.429,-15.4001,291.465,368.762,23.574,303.368,326.324,-24.0417,1,6,58:38.0,58:38.0,2,1,0,0
1,332.63,375.306,-9.28213,349.294,377.592,-19.782,293.43,365.819,11.9125,327.999,347.357,-12.7838,1,6,58:38.0,58:38.0,2,1,0,0
1,307.569,369.675,-3.66931,327.528,380.248,-22.3775,272.543,358.712,5.62992,308.323,346.213,-10.1668,1,6,58:38.0,58:38.0,2,1,0,0
1,328.605,364.858,1.05957,332.209,371.358,-16.771,298.527,351.905,13.9057,326.28,343.511,-18.4929,1,6,58:38.0,58:38.0,2,1,0,0
1,306.964,378.224,-7.96094,328.106,394.269,-21.6161,282.472,360.313,1.58613,320.445,358.834,-4.08705,1,6,58:38.0,58:38.0,2,1,0,0
1,316.386,380.029,-4.9363,327.61,388.498,-19.2659,283.137,363.112,11.2453,319.503,356.802,-14.1519,1,6,58:38.0,58:38.0,2,1,0,0
1,302.105,373.725,-2.67478,318.796,381.735,-19.3699,265.687,365.745,7.65957,298.19,347.208,-11.5925,1,6,58:38.0,58:38.0,2,1,0,0
